Contig9961	Contig1
Contig94	Contig2
Contig6623	Contig3
Contig6610	Contig4
Contig6679	Contig5
Contig8990	Contig6
Contig8857	Contig7
Contig6617	Contig8
Contig6697	Contig9
Contig8852	Contig10
Contig6842	Contig11
Contig389	Contig12
Contig6654	Contig13
Contig9963	Contig14
Contig6827	Contig15
Contig9967	Contig16
Contig583	Contig17
Contig8991	Contig18
Contig725	Contig19
Contig49	Contig20
Contig6776	Contig21
Contig6930	Contig22
Contig6795	Contig23
Contig6708	Contig24
Contig9098	Contig25
Contig6692	Contig26
Contig6845	Contig27
Contig6876	Contig28
Contig6941	Contig29
Contig39	Contig30
Contig6806	Contig31
Contig6612	Contig32
Contig6811	Contig33
Contig6922	Contig34
Contig1362	Contig35
Contig6785	Contig36
Contig6852	Contig37
Contig6670	Contig38
Contig6656	Contig39
Contig7404	Contig40
Contig6627	Contig41
Contig7027	Contig42
Contig7279	Contig43
Contig7114	Contig44
Contig8850	Contig45
Contig7270	Contig46
Contig7472	Contig47
Contig6666	Contig48
Contig6999	Contig49
Contig7255	Contig50
Contig7252	Contig51
Contig6699	Contig52
Contig6830	Contig53
Contig7264	Contig54
Contig1835	Contig55
Contig230	Contig56
Contig657	Contig57
Contig7578	Contig58
Contig6735	Contig59
Contig6801	Contig60
Contig7361	Contig61
Contig9973	Contig62
Contig9984	Contig63
Contig6747	Contig64
Contig2026	Contig65
Contig6873	Contig66
Contig7030	Contig67
Contig7193	Contig68
Contig7396	Contig69
Contig9976	Contig70
Contig7083	Contig71
Contig6787	Contig72
Contig7035	Contig73
Contig8812	Contig74
Contig1279	Contig75
Contig7648	Contig76
Contig7228	Contig77
Contig8807	Contig78
Contig2357	Contig79
Contig9988	Contig80
Contig2368	Contig81
Contig7010	Contig82
Contig7638	Contig83
Contig1257	Contig84
Contig8847	Contig85
Contig6837	Contig86
Contig6921	Contig87
Contig6668	Contig88
Contig7510	Contig89
Contig6597	Contig90
Contig2289	Contig91
Contig7103	Contig92
Contig6997	Contig93
Contig7052	Contig94
Contig8809	Contig95
Contig9996	Contig96
Contig6847	Contig97
Contig7111	Contig98
Contig7078	Contig99
Contig7299	Contig100
